Title,Date,Participants,Ref.Keywords
"Introduction and passing of the Delhi Appropriation (Vote On Account) Bill, 2014. ",21-02-2014,Seelam Shri Jesudasu,
"Introduction and passing of the Delhi Appropriation Bill, 2014. ",21-02-2014,Seelam Shri Jesudasu,
"Amendments made by Rajya Sabha to the Street Vendors (Protection of Livelihood and Regulation of Street Vending) Bill, 2013. ",20-02-2014,Vyas Dr.(Kum.) Girija,
"Amendments made by Rajya Sabha to the Governors (Emoluments, Allowances and Privileges) Amendment Bill, 2013. ",20-02-2014,Singh Kunwar Ratanjeet Pratap Narayan ,
"Amendments made by Rajya Sabha to the National Institutes of Technology, Science Education and Research (Amendment) Bill, 2013. ",20-02-2014,Tharoor Shri Shashi,
"Motion to consider Rani Lakshmi Bai Central Agricultural University Bill, 2014, as passed by Rajya Sabha (Motion Adopted and Bill Passed). ",20-02-2014,"Mahant Dr. Charan Das,Meghwal Shri Arjun Ram ,Kumar Shri Shailendra,Ray Shri Saugata","Agricultural Education,Dry Land Farming,Higher Education,Research and Development"
"Discussion on the motion for consideration of Narcotic Drug and Psychotropic Substances (Amendment) Bill, 2011 (Bill Passed). ",20-02-2014,"Meena Shri Namo Narain,Dubey Shri Nishikant ,Punia Shri P.L. ,Meghwal Shri Arjun Ram ,Kumar Shri Shailendra,Semmalai Shri S. ,Manian Shri O. S.,Saha Shri Anup Kumar,Venugopal Shri P.,Dubey Shri Nishikant ,Kumar Shri Shailendra,Ray Shri Saugata,Dome Dr. Ram Chandra,Kumar Shri Ajay,Vinay Kumar Alias Vinnu Shri ,Sinha Shri Shatrughan,Singh Dr. Raghuvansh Prasad,Meena Shri Namo Narain","Black Money,Death Rate,Drug Addiction,Drug Industry,Drug Peddling,Opium,Drug Abuse,Licensing Policy,Narco Terrorism,Monitoring,Illegal Activities,Drug Trafficking,Poppy,Punishments,Naxalism,Money Laundering,Maoism"
"Introduction and passing of the Appropriation (Vote on Account) Bill, 2014. ",19-02-2014,Chidambaram Shri Palaniappan,
"Introduction and passing of the Appropriation Bill, 2014. ",19-02-2014,Chidambaram Shri Palaniappan,
"Passing of the Finance Bill, 2014. ",19-02-2014,"Chidambaram Shri Palaniappan,Joshi Dr. Murli Manohar",
"Discussion on the motion for consideration of the Andhra Pradesh Reorganisation Bill, 2014 (Bill Passed). ",18-02-2014,"Shinde Shri Sushil Kumar,Swaraj Smt. Sushma,Reddy Shri Jaipal Sudini,Bwiswmuthiary Shri Sansuma Khunggur,Kumar Shri Shailendra,Chauhan Shri Dara Singh,Ray Shri Saugata,Yaskhi Shri Madhu Goud,Das Gupta Shri Gurudas,Bandyopadhyay Shri Sudip,Punia Shri P.L. ,Shetkar Shri Suresh Kumar,Panabaka Smt. Lakshmi,Ponnam Shri Prabhakar,Botcha Lakshmi Smt. Jhansi,Chauhan Shri Mahendrasinh P.,Solanki Dr. Kirit Premjibhai,Meghwal Shri Arjun Ram ,Vivekanand Dr. G.","Development Programmes,Economic And Social Development,Education,Employment Opportunities,Irrigation Projects,Railway Projects,Unemployment,Compensations,Infrastructure Development,State Reorganisation,Farmers' Suicide,Telengana Region,Seemandhra"
"Introduction of the Finance Bill, 2014. ",17-02-2014,Chidambaram Shri Palaniappan,
"Introduction and passing of the Appropriation (Railways) Vote On Account Bill, 2014. ",17-02-2014,Kharge Shri Mallikarjun ,
"Introduction and passing of the Appropriation (Railways) Bill, 2014. ",17-02-2014,Kharge Shri Mallikarjun ,
"Introduction of the Andhra Pradesh Reorganisation Bill, 2014. ",13-02-2014,Shinde Shri Sushil Kumar,
"Introduction of the Acquisition of Certain Area in Mumbai<span style=""mso-spacerun: yes"">  </span>for Dr. Bhimrao Ambedkar Memorial Bill, 2014. ",11/2/2014,Rao Shri Kavuri Samba Siva,
"Introduction and passing of the National Institutes of Technology, Science Education and Research (Amendment) Bill, 2013. ",18-12-2013,Tharoor Shri Shashi,
"Discussion on the motion for consideration fo the Amendments made by Rajya Sabha to the Lokpal and Lokayuktas Bill, 2011 (Amendment Agreed). ",18-12-2013,"Sibal Shri Kapil,Swaraj Smt. Sushma,Gandhi Shri Rahul,Yadav Shri Mulayam Singh,Chauhan Shri Dara Singh,Yadav Shri Sharad,Pathak Shri Harin,Rai Shri Prem Das,Meghwal Shri Arjun Ram ,Punia Shri P.L. ,Dhruvanarayana Shri R. ,Virendra Kumar Shri ,Majumdar Shri Prasanta Kumar,Banerjee Shri Kalyan,Bandyopadhyay Shri Sudip,Beg Shri Mirza Mehboob,Rajbhar Shri Ramashankar,Pal Shri Jagdambika,Das Gupta Shri Gurudas,Mandal Dr. Tarun,Rao Shri Nama Nageswara,Elangovan Shri T.K.S.,Sule Supriya ,Naik Dr. Sanjeev Ganesh,Joshi Shri Pralhad Venkatesh,Ananth Kumar Shri ,Das Shri Bhakta Charan,Thol Shri Thirumaavalavan,Agarwal Shri Rajendra,Thambidurai Shri M.,Pandey Shri Ravindra Kumar,Ajmal Shri Badruddin","Black Money,Democracy,Lok Pal,Lokayuktas,Private Sector,Social Justice,Transparency,Accountability,Corruption,Scams,Inquiry"
"Introduction of the Constitution (Scheduled Tribes) Order<span style=""mso-spacerun: yes"">  </span>(Second Amendment) Bill, 2013. ",17-12-2013,Deo Shri V. Kishore Chandra S.,
"Introduction of the Coal Regulatory Authority Bill, 2013. ",13-12-2013,Jaiswal Shri Shriprakash,
"Motion for consideration of the Citizenship (Amendment) Bill, 2013. ",13-12-2013,Mullappally Shri Ramachandran,
"Introduction of the Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2013. ",12/12/2013,Selja Kumari ,
"Introduction and passing of the Appropriation (No. 5) Bill, 2013. ",12/12/2013,Chidambaram Shri Palaniappan,
"Introduction and passing of the Appropriation (Railways) No. 4 Bill, 2013. ",12/12/2013,Kharge Shri Mallikarjun ,
"Motion for consideration of the Parliament (Prevention of Disqualification) Amendment Bill,<span style=""mso-spacerun: yes"">  </span>2013 as passed by Rajya Sabha (Motion Adopted and Bill Passed). ",6/9/2013,Sibal Shri Kapil,
"Further discussion on the motion for consideration of the Streeet Vendors (Protection of Livelihood and Regulation of Street Vending) Bill, 2012 (Bill Passed). ",6/9/2013,"Geete Shri Anant Gangaram,Hussain Shri Syed Shahnawaz,Singh Smt. Meena,Paeethambarakurup Shri N.,Rajbhar Shri Ramashankar,Veljibhai Jat Poonamben,Botcha Lakshmi Smt. Jhansi,Aaron Rashid Shri J.M.,Solanki Dr. Kirit Premjibhai,Patel Smt. Jayshreeben,Rajendran Shri C.,Chauhan Shri Dara Singh,Jardosh Smt. Darshana Vikram,Argal Shri Ashok,Meghwal Shri Arjun Ram ,Chauhan Shri Mahendrasinh P.,De Dr. Ratna,Kashyap Shri Virender,Adhi Sankar Shri ,Roy Shri Mahendra Kumar,Naik Dr. Sanjeev Ganesh,Chaudhary Shri Jayant,Mahtab Shri Bhartruhari,Choudhary Shri Nikhil Kumar,Panda Shri Prabodh,Rama Devi Smt. ,Rao Shri Nama Nageswara,Krishnaswamy Shri M.,Maharaj Shri Satpal,Singh Shri Jagada Nand,Singh Shri Ganesh,Pal Shri Jagdambika,Nirupam Shri Sanjay Brijkishorilal ,Punia Shri P.L. ,Roy Shri Nripendra Nath,Gandhiselvan Shri S.,Owaisi Shri Asaduddin,Mandal Dr. Tarun,Kumari Smt. Putul,Pandey Shri Gorakh Nath,Thamaraiselvan Shri R.,Vyas Dr.(Kum.) Girija","Employment Opportunities,Exploitation,Housing Needs,Inflation,Life Insurance,Minorities,Police Atrocities,Sanitation,Social Security,Unemployment,Vendors,Licensing Policy,Poverty Eradication,Welfare Schemes,Corruption,Health Care,Poverty Alleviation,Unorganised Sector,Health and Hygiene,Basic Amenities,Foreign Direct Investment (FDI),Licence,Child Education,Awareness Programme"
"Discussion on the motion for consideration of the Rajiv Gandhi National Aviation University Bill, 2013 (Bill Passed). ",6/9/2013,"Singh Shri Ajit,Ananth Kumar Shri ,Kumar Shri Shailendra,Maharaj Shri Satpal,Thamaraiselvan Shri R.,Pandey Shri Gorakh Nath,Ray Shri Saugata,Solanki Dr. Kirit Premjibhai,Singh Shri Sushil Kumar,Baalu Thiru Thalikkottai Rajuthevar,Meghwal Shri Arjun Ram ,Haque Shri Sk. Saidul,Jardosh Smt. Darshana Vikram,Chauhan Shri Mahendrasinh P.,Patel Smt. Jayshreeben,Semmalai Shri S. ,Rao Shri Nama Nageswara,Argal Shri Ashok,Bwiswmuthiary Shri Sansuma Khunggur,Pal Shri Jagdambika,Vinay Kumar Alias Vinnu Shri ,Singh Shri Ajit","Central Universities,Civil Aviation,Employment Opportunities,Human Resources,Manpower Needs,Professional Education,Research and Development,Tourism Development,Training Programmes,Airports Authority Of India,Privatisation,Infrastructure Development,Foreign Direct Investment (FDI),Air Services"
"Discussion on the motion for consideration of the Prohibition of Employment as Manual Scavengers and Their Rehabilitation Bill, 2012 (Discussion concluded and Bill Passed). ",6/9/2013,"Selja Kumari ,Meghwal Shri Arjun Ram ,Maharaj Shri Satpal,Mahtab Shri Bhartruhari,Siricilla Shri Rajaiah,Jardosh Smt. Darshana Vikram,Patel Smt. Jayshreeben,Kumar Shri Shailendra,Das Shri Bhakta Charan,Kashyap Shri Virender,Bali Ram Dr. ,Chauhan Shri Mahendrasinh P.,Ramshankar Dr. ,Hazari Shri Maheshwar ,De Dr. Ratna,Adhi Sankar Shri ,Bauri Smt. Susmita,Pal Shri Jagdambika,Jena Shri Mohan,Naik Dr. Sanjeev Ganesh,Anandan Shri M.,Solanki Dr. Kirit Premjibhai,Rao Shri Nama Nageswara,Punia Shri P.L. ,Panda Shri Prabodh,Singh Shri Jagada Nand,Selja Kumari ","Bank Loans,Economic And Social Development,Education,Employment,Employment Opportunities,Equipment,Free Education,Health Insurance,Housing Schemes,Rehabilitation,Sanitation,Technical Assistance,Welfare Schemes,Non-Governmental Organisations (NGO),Health and Hygiene,Basic Amenities"
